event_date,phone_is_null,is_military,is_phone_lokal,is_phone_ru,category,is_transit,is_single_signal,echelon,devices
2025-08-19,False,True,False,True,arrived,True,False,1,8
2025-07-18,False,True,True,False,disapeared,False,True,1,4
2025-07-17,False,True,True,False,departed,True,False,2,4
2025-08-30,False,True,False,True,new,True,False,2,67
2025-07-29,False,True,False,True,new,False,True,3,7
2025-09-01,False,True,False,True,constant,False,False,1,220
2025-08-25,False,True,False,True,arrived,False,False,1,3
2025-09-02,False,True,False,True,disapeared,True,False,2,56
2025-09-08,False,True,True,False,disapeared,True,False,2,1
2025-09-10,False,True,False,True,constant,False,False,3,78
2025-08-08,False,True,True,False,constant,False,False,3,6
2025-09-05,False,True,True,False,arrived,True,False,2,9
2025-08-03,False,False,False,True,arrived,True,False,1,153
2025-08-02,False,False,False,True,new,True,False,1,444
2025-07-18,False,False,False,True,departed,True,False,2,612
2025-08-05,False,False,True,False,constant,False,False,3,3223
2025-08-07,False,False,False,True,new,False,False,3,517
2025-07-25,False,False,False,True,constant,True,False,0,80
2025-07-20,False,False,True,False,disapeared,True,False,0,399
2025-07-20,False,False,True,False,new,False,True,3,45
2025-08-05,False,False,True,False,constant,False,False,0,1002
2025-07-12,False,False,False,True,new,False,False,2,2153
2025-08-19,False,False,True,False,disapeared,True,False,2,851
2025-07-31,False,False,True,False,new,True,False,1,1903
2025-08-22,False,False,True,False,arrived,True,False,3,162
2025-08-21,False,False,True,False,disapeared,True,False,0,376
2025-07-12,False,False,True,False,new,False,True,0,8
2025-07-26,True,False,False,True,arrived,False,False,0,27
2025-07-16,False,False,True,False,disapeared,False,False,1,379
2025-08-27,False,False,True,False,departed,True,False,1,2260
2025-07-16,False,False,True,False,departed,False,False,1,99
2025-07-16,False,False,False,True,disapeared,True,False,3,61
2025-07-10,False,False,False,True,arrived,True,False,1,243
2025-09-05,False,False,False,True,disapeared,False,True,2,462
2025-09-05,False,False,False,True,disapeared,False,True,3,201
2025-08-29,False,False,True,False,new,False,False,2,908
2025-08-30,False,False,False,True,new,True,False,0,265
2025-07-29,False,False,True,False,disapeared,True,False,1,2465
2025-07-31,False,False,True,False,constant,True,False,3,48
2025-08-31,False,False,False,True,new,True,False,3,62
2025-08-31,True,False,False,True,departed,True,False,0,24
2025-09-04,False,False,True,False,departed,True,False,2,1960
2025-07-02,False,False,False,True,new,False,True,1,186
2025-07-06,False,False,True,False,constant,False,False,1,3424
2025-07-06,True,False,False,True,departed,False,False,0,30
2025-09-11,False,False,False,True,departed,True,False,1,205
2025-09-16,False,False,False,True,new,False,False,2,2007
2025-09-21,False,False,True,False,new,False,False,2,838
2025-09-22,True,False,False,True,disapeared,True,False,0,173
2025-09-22,False,False,True,False,departed,True,False,3,63
2025-09-21,False,False,False,True,new,True,False,1,182
2025-08-13,False,False,True,False,new,False,True,3,598
2025-08-13,False,False,False,True,new,True,False,0,83
2025-08-15,True,False,False,True,departed,False,False,0,38
2025-07-19,False,True,True,False,new,False,False,1,2
2025-08-03,False,True,False,True,new,True,False,0,15
2025-07-19,False,True,False,True,departed,False,False,0,6
2025-08-06,False,True,False,True,new,True,False,1,13
2025-07-16,False,True,False,True,disapeared,True,False,2,67
2025-08-20,False,True,False,True,departed,True,False,1,9
2025-08-25,False,True,False,True,disapeared,False,True,2,28
2025-08-31,False,True,False,True,constant,True,False,0,23
2025-09-14,False,True,False,True,disapeared,True,False,2,59
2025-09-08,False,True,False,True,constant,False,False,2,406
2025-07-08,False,True,False,True,disapeared,True,False,2,28
2025-09-02,False,True,False,True,constant,False,False,3,74
2025-09-10,False,True,False,True,departed,True,False,1,16
2025-08-24,False,True,False,True,disapeared,False,False,2,83
2025-09-16,False,True,False,True,departed,True,False,1,19
2025-09-21,False,True,False,True,departed,True,False,0,4
2025-08-13,False,True,False,True,constant,False,False,1,15
2025-08-05,False,False,True,False,constant,False,False,1,2813
2025-07-13,False,False,False,True,disapeared,False,True,3,293
2025-07-27,False,False,True,False,new,True,False,1,2782
2025-07-27,False,False,True,False,new,False,False,0,225
2025-07-23,False,False,False,True,constant,True,False,3,64
2025-07-24,False,False,False,True,arrived,False,False,3,19
2025-08-05,False,False,True,False,disapeared,False,True,3,101
2025-07-12,False,False,False,True,new,False,True,2,438
2025-07-30,False,False,True,False,departed,True,False,2,2855
2025-07-30,False,False,False,True,disapeared,True,False,1,276
2025-07-30,False,False,True,False,new,False,False,0,194
2025-08-28,False,False,True,False,disapeared,False,True,1,66
2025-08-28,False,False,True,False,arrived,False,False,2,182
2025-09-06,False,False,False,True,disapeared,True,False,2,1881
2025-07-10,True,False,False,True,departed,True,False,0,20
2025-09-05,True,False,False,True,constant,True,False,0,42
2025-07-10,True,False,False,True,arrived,True,False,0,9
2025-08-05,False,False,False,True,disapeared,False,True,1,125
2025-08-23,False,False,False,True,disapeared,False,False,3,1601
2025-08-25,False,False,True,False,disapeared,False,True,2,248
2025-09-01,False,False,False,True,constant,False,False,3,1442
2025-07-08,True,False,False,True,departed,False,False,0,22
2025-08-08,False,False,True,False,arrived,False,False,1,57
2025-08-31,False,False,True,False,disapeared,False,False,1,501
2025-09-04,False,False,True,False,disapeared,True,False,2,469
2025-07-02,False,False,False,True,departed,False,False,3,14
2025-09-02,True,False,False,True,new,False,False,0,1070
2025-09-08,False,False,False,True,new,False,True,1,172
2025-08-18,False,False,True,False,disapeared,False,True,3,240
2025-07-06,False,False,False,True,disapeared,False,True,3,181
2025-07-05,False,False,True,False,disapeared,True,False,3,48
2025-07-06,False,False,True,False,new,True,False,3,47
2025-09-03,False,False,False,True,departed,False,False,1,51
2025-09-18,False,False,True,False,disapeared,False,False,2,677
2025-09-18,False,False,True,False,new,False,True,2,239
2025-09-18,False,False,True,False,disapeared,False,True,1,71
2025-09-21,False,False,False,True,new,False,True,1,123
2025-08-12,True,False,False,True,disapeared,False,True,0,682
2025-08-14,False,False,True,False,arrived,True,False,0,256
2025-08-10,False,False,True,False,new,False,True,3,652
2025-08-10,False,False,True,False,new,False,False,3,449
2025-08-16,True,False,False,True,new,False,False,0,1783
2025-08-13,False,False,False,True,constant,True,False,2,20
2025-08-15,False,False,False,True,disapeared,True,False,0,53
2025-07-24,False,True,False,True,constant,False,False,2,390
2025-07-27,False,True,False,True,constant,False,False,0,453
2025-07-13,False,True,False,True,new,False,False,1,105
2025-07-31,False,True,True,False,constant,False,False,2,17
2025-07-21,False,True,False,True,disapeared,True,False,2,52
2025-07-30,False,True,False,True,constant,False,False,0,492
2025-07-30,False,True,False,True,constant,False,False,3,93
2025-08-22,False,True,False,True,arrived,False,False,3,1
2025-08-30,False,True,False,True,new,True,False,0,16
2025-08-30,False,True,False,True,new,False,False,3,27
2025-07-30,False,True,False,True,disapeared,False,False,0,96
2025-08-23,False,True,True,False,departed,True,False,0,5
2025-08-28,False,True,False,True,new,False,True,3,16
2025-09-13,False,True,False,True,new,False,False,2,165
2025-09-11,False,True,False,True,departed,True,False,0,17
2025-08-03,False,False,False,True,new,True,False,2,5098
2025-07-28,False,False,False,True,constant,False,False,1,1621
2025-07-28,False,False,True,False,disapeared,True,False,1,4909
